[25/07/2023 11:54:08 - INFO] Discord Presence activated
[25/07/2023 11:54:08 - INFO] Creating discord-rpc client
[25/07/2023 11:54:08 - INFO] Successfully connected to Discord
[25/07/2023 11:54:08 - DEBUG] Loading git extension
[25/07/2023 11:54:09 - TRACE] VSCode language id: makefile
[25/07/2023 11:54:12 - TRACE] VSCode language id: markdown
[25/07/2023 11:54:14 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:11 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:13 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:18 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:20 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:23 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:25 - TRACE] VSCode language id: shellscript
[25/07/2023 12:00:27 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:24 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:26 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:28 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:30 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:33 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:35 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:37 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:38 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:40 - TRACE] VSCode language id: shellscript
[25/07/2023 12:01:42 - TRACE] VSCode language id: shellscript
[25/07/2023 12:06:43 - TRACE] VSCode language id: shellscript
[25/07/2023 12:06:45 - TRACE] VSCode language id: shellscript
[25/07/2023 12:06:47 - TRACE] VSCode language id: shellscript
[25/07/2023 12:09:51 - TRACE] VSCode language id: shellscript
[25/07/2023 12:09:53 - TRACE] VSCode language id: shellscript
[25/07/2023 12:09:54 - TRACE] VSCode language id: shellscript
[25/07/2023 12:09:56 - TRACE] VSCode language id: shellscript
[25/07/2023 12:10:37 - TRACE] VSCode language id: properties
[25/07/2023 12:10:41 - TRACE] VSCode language id: yaml
[25/07/2023 12:10:49 - TRACE] VSCode language id: markdown
[25/07/2023 12:10:57 - TRACE] VSCode language id: shellscript
[25/07/2023 12:13:28 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:07 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:09 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:15 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:17 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:19 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:22 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:27 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:29 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:31 - TRACE] VSCode language id: shellscript
[25/07/2023 12:16:34 - TRACE] VSCode language id: shellscript
[25/07/2023 12:17:09 - TRACE] VSCode language id: shellscript
[25/07/2023 12:17:11 - TRACE] VSCode language id: shellscript
[25/07/2023 12:17:13 - TRACE] VSCode language id: shellscript
[25/07/2023 12:17:16 - TRACE] VSCode language id: shellscript
[25/07/2023 12:17:18 - TRACE] VSCode language id: shellscript
[25/07/2023 12:20:50 - TRACE] VSCode language id: shellscript
[25/07/2023 12:20:52 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:06 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:08 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:08 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:11 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:13 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:30 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:32 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:34 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:36 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:38 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:40 - TRACE] VSCode language id: shellscript
[25/07/2023 12:21:43 - TRACE] VSCode language id: shellscript
[25/07/2023 12:22:10 - TRACE] VSCode language id: shellscript
[25/07/2023 12:22:12 - TRACE] VSCode language id: shellscript
