[03/08/2023 18:12:23 - INFO] Discord Presence activated
[03/08/2023 18:12:23 - INFO] Creating discord-rpc client
[03/08/2023 18:12:23 - INFO] Successfully connected to Discord
[03/08/2023 18:12:23 - DEBUG] Loading git extension
[03/08/2023 18:12:39 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:42 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:44 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:46 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:48 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:50 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:52 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:54 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:56 - TRACE] VSCode language id: markdown
[03/08/2023 18:12:58 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:00 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:02 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:04 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:06 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:08 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:10 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:14 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:16 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:17 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:19 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:50 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:52 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:54 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:56 - TRACE] VSCode language id: markdown
[03/08/2023 18:13:58 - TRACE] VSCode language id: markdown
[03/08/2023 18:14:00 - TRACE] VSCode language id: markdown
[03/08/2023 18:14:02 - TRACE] VSCode language id: markdown
[03/08/2023 18:14:04 - TRACE] VSCode language id: markdown
[03/08/2023 18:14:06 - TRACE] VSCode language id: markdown
