[03/08/2023 18:24:08 - INFO] Discord Presence activated
[03/08/2023 18:24:08 - INFO] Creating discord-rpc client
[03/08/2023 18:24:09 - INFO] Successfully connected to Discord
[03/08/2023 18:24:09 - DEBUG] Loading git extension
[03/08/2023 18:24:09 - TRACE] Git extension not activated, activating...
[03/08/2023 18:24:09 - DEBUG] Loading git extension
[03/08/2023 18:24:09 - TRACE] Git extension not activated, activating...
[03/08/2023 18:24:52 - TRACE] VSCode language id: markdown
[03/08/2023 18:26:36 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:38 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:40 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:44 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:46 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:46 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:48 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:54 - TRACE] VSCode language id: shellscript
[03/08/2023 18:28:56 - TRACE] VSCode language id: shellscript
[03/08/2023 18:30:36 - TRACE] VSCode language id: shellscript
[03/08/2023 18:30:38 - TRACE] VSCode language id: shellscript
[03/08/2023 18:30:40 - TRACE] VSCode language id: shellscript
[03/08/2023 18:30:42 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:05 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:07 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:43 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:45 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:47 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:51 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:53 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:55 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:57 - TRACE] VSCode language id: shellscript
[03/08/2023 18:34:58 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:00 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:02 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:04 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:06 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:08 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:10 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:21 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:42 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:45 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:47 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:49 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:51 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:53 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:55 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:57 - TRACE] VSCode language id: shellscript
[03/08/2023 18:35:59 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:01 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:03 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:05 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:08 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:10 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:12 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:14 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:16 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:18 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:22 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:24 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:26 - TRACE] VSCode language id: shellscript
[03/08/2023 18:36:28 - TRACE] VSCode language id: shellscript
